id,razorpayOrderId,razorpayPaymentId,daimoPaymentId,daimoTxHash,amount,currency,status,paymentType,paymentVerified,createdAt,updatedAt,razorpaySignature,ticketId,buyerEmailSent,buyerEmailSentAt,buyerId
4b1b7403-1448-46cc-bbf2-8655b21e2d3c,,,WoEJdSYP3drKc3HtZ8oMTT3xXN21yjxBTKBu36u1vCU,0xcfeaa58194cf2caa576f735e8be10ec983ef3b16c8ecc785e6596edc875b900d,1.1,USD,paid,DAIMO,t,2025-12-20 07:21:08.793,2025-12-20 07:24:03.774,,a8158ee9-342d-4cd5-8541-5beda1ad2021,t,2025-12-20 07:24:03.774,180e5f13-b7c4-4894-a02a-a0c9f62fe7a3
f3835bb0-6142-4949-a402-32525865cb5a,,,J3B7ChirgKirqbw5a1VZqawY6pGsuknqvAV4zxbZpD5d,0x9bde23c241364ad279d430c2069399e94e2ae7d20bc1533600665ebd621742c2,1.1,USD,paid,DAIMO,t,2025-12-20 07:22:18.72,2025-12-20 07:24:07.907,,a8158ee9-342d-4cd5-8541-5beda1ad2021,t,2025-12-20 07:24:07.907,b95a15c0-5e0b-4225-ac95-64a80ad68edb
57ba4d49-0b6c-4e71-a598-92252ce30245,,,GhBBHKZgVRoBN9SqwsJ8Y6cwnm2aJuboxL7RsBECBvF5,0xadb7e2cef2033c1768c640faba76475d67f6bba9f4cc287b88a2100c88025d97,1.1,USD,paid,DAIMO,t,2025-12-20 07:27:21.399,2025-12-20 07:30:32.042,,a8158ee9-342d-4cd5-8541-5beda1ad2021,t,2025-12-20 07:30:32.041,291e918f-b344-4919-a864-8fc7c1085189
5062dc5a-45e7-4b2f-85ec-9be71e1b7f74,,,B9MjGAitxeVK1FhQezSUMK6cWvwDjXZBWHWMbTSGnJZ3,0xa6138013adcec083b6e4822b59a29082347464a798b695ea27b69ff66b947f31,1.1,USD,paid,DAIMO,t,2025-12-20 07:28:53.727,2025-12-20 07:32:11.144,,a8158ee9-342d-4cd5-8541-5beda1ad2021,t,2025-12-20 07:32:11.143,07396e62-9ca8-4e51-a104-bc724c02fe12
f5e9291f-8cc3-42c7-b5d3-dc72594e9797,,,ByAivb2agcBWK2M4mzDPtrx7uatStgTzuKP36TrmPZh,0xe2c5a2bcecd0ed1b860c10a4211de156a60d25c6e106fccf6cf7ca6d3817a82b,1.1,USD,paid,DAIMO,t,2025-12-20 07:28:44.454,2025-12-20 07:32:33.623,,a8158ee9-342d-4cd5-8541-5beda1ad2021,t,2025-12-20 07:32:33.622,9c35705d-cb52-4c1b-b30e-9ebf82fe39b3
1c267d21-44d7-4ef5-87a3-0dfc1ecb711c,,,388DxorK3p91gdDdt3icymaouG2sMX17YYUcgAguNbk5,0x13406cf864958cbfb4d411e4390885d6fcfb725b8fac23f641a8b7b90aeef03a,1.1,USD,paid,DAIMO,t,2025-12-20 07:36:37.24,2025-12-20 07:38:43.34,,a8158ee9-342d-4cd5-8541-5beda1ad2021,t,2025-12-20 07:38:43.338,1df384e2-2fa8-41dc-9d50-c3a57ab03e6c
932977e0-1a02-4df1-b414-0cacaa709aee,,,4cJR1iMXd4gwTYqVk2tbEu193Ka4tGtQhuFpbnwniivH,0xb87cba2d050fa9e00e2b5ffe3417920905f5fb7a262d37b5c083c00509a5a0ff,1.1,USD,paid,DAIMO,t,2025-12-20 07:35:25.197,2025-12-20 07:38:43.842,,a8158ee9-342d-4cd5-8541-5beda1ad2021,t,2025-12-20 07:38:43.842,880c06d5-9bdf-4384-a4ae-16334543fd42
79a7c232-7f84-40e6-9e27-4a5bcb27f6e4,,,8uWJsb6FoozLRw4uQZ9pcz6KbKAsqJpYca4N95ahohyV,0x1492e25f86475416b03ffb6d195495292ec7f45c0536210dbabc58a36e9a103c,1.1,USD,paid,DAIMO,t,2025-12-20 07:41:51.626,2025-12-20 07:43:23.771,,a8158ee9-342d-4cd5-8541-5beda1ad2021,t,2025-12-20 07:43:23.77,da6eb6b0-e276-46bf-a299-119dd78edc61
7d902198-2998-41d7-8eda-e6116b22c6b7,,,HgVwoPyxQUScz3y3g8BXWShhfaDZX6rh23i6DgYD7GP4,0xe53f822bebcaa3ddfbb162ac6f8d007430a40fd603bc165d15d6920cb89c7945,1.1,USD,paid,DAIMO,t,2025-12-20 07:44:55.92,2025-12-20 07:48:20.651,,a8158ee9-342d-4cd5-8541-5beda1ad2021,t,2025-12-20 07:48:20.65,c757d3c1-73d4-4156-910b-bac695279770
4fbddee0-a516-496d-ab92-6641c313b9b6,,,7vNkGGrhPYqRrnLGKua7eecbZAgUcmVEVZwP5u5274Ng,0x6ea196e632bb5cf6b0c8435f51e2cbebfd68d1f97e363a257e1841ce04709abc,1.1,USD,paid,DAIMO,t,2025-12-20 07:48:24.941,2025-12-20 07:49:44.742,,a8158ee9-342d-4cd5-8541-5beda1ad2021,t,2025-12-20 07:49:44.741,64238e45-9835-47c5-8b56-4e237a7aedc7
2b79c83c-036e-42e5-9123-78823a028f53,,,E1rCqrKLGjnNiwoY1JFKgPnimYCDrjV6puCFbuQEugR2,0x372bd80eee7873ced9a34014f6206471a295f860eb92ed8e0f42f8167d241890,1.1,USD,paid,DAIMO,t,2025-12-20 07:41:41.39,2025-12-20 07:49:53.241,,a8158ee9-342d-4cd5-8541-5beda1ad2021,t,2025-12-20 07:49:53.24,69ed9c45-6b13-4297-b3cc-c6e8478f3bdb
53b17e9d-a5af-4eaa-a5a9-4751877b3edd,,,5o5JBecqetxi74UWkCAN5uW9R3ccQDNBQZiczSdLemhS,0x97eb2d47510832f4ca2a0d928b3ea0ac8ae3ab0ed0091b468e82e33acbd598f9,1.1,USD,paid,DAIMO,t,2025-12-20 07:52:44.774,2025-12-20 07:55:39.357,,a8158ee9-342d-4cd5-8541-5beda1ad2021,t,2025-12-20 07:55:39.356,f676ee90-cb8b-4e2a-9830-6269bb3ada83
8fadb2c9-93e4-47e4-904e-e182fa09274f,,,98LcTRfKNpFjkefhFNfVTZu1tQ4y3PD9Z6bmSyKKqXtU,0xcf826488bcff546c49c140b79eee60db7c2f92b8eda5f9b0faec22dfa6f79fc4,1.1,USD,paid,DAIMO,t,2025-12-20 07:49:36.153,2025-12-20 07:56:07.14,,a8158ee9-342d-4cd5-8541-5beda1ad2021,t,2025-12-20 07:56:07.14,8d54f361-7a49-48eb-acf4-05dde3565355
